timestamp,open,high,low,close,volume
2025-05-10 22:50:00,2561.16,2576.89,2556.78,2573.79,4581.7934
2025-05-10 22:55:00,2573.79,2586.17,2573.69,2577.22,7471.4803
2025-05-10 23:00:00,2577.21,2586.66,2574.32,2578.68,5124.4936
2025-05-10 23:05:00,2578.68,2588.79,2578.41,2580.25,5572.758
2025-05-10 23:10:00,2580.26,2582.5,2563.68,2570.97,7279.2779
2025-05-10 23:15:00,2570.96,2600.0,2568.03,2583.36,13763.0866
2025-05-10 23:20:00,2583.36,2595.0,2573.07,2594.99,8865.8614
2025-05-10 23:25:00,2594.99,2594.99,2578.06,2582.22,4396.5371
2025-05-10 23:30:00,2582.22,2586.5,2567.0,2573.05,5567.8193
2025-05-10 23:35:00,2573.05,2598.56,2570.79,2588.37,8479.0952
2025-05-10 23:40:00,2588.4,2591.26,2581.86,2586.5,2326.0829
2025-05-10 23:45:00,2586.49,2591.5,2579.0,2589.43,8337.4737
2025-05-10 23:50:00,2589.43,2595.32,2582.06,2586.91,5656.9532
2025-05-10 23:55:00,2586.91,2586.91,2577.49,2583.23,3672.7539
2025-05-11 00:00:00,2583.22,2592.81,2574.15,2588.63,6008.6944
2025-05-11 00:05:00,2588.61,2608.13,2582.5,2585.57,14638.1164
2025-05-11 00:10:00,2585.58,2589.34,2580.49,2580.67,3251.7127
2025-05-11 00:15:00,2580.66,2583.42,2553.48,2566.45,13456.0705
2025-05-11 00:20:00,2566.45,2566.81,2548.06,2557.86,6900.8083
2025-05-11 00:25:00,2557.87,2559.12,2504.27,2513.55,19147.2779
2025-05-11 00:30:00,2513.54,2545.5,2513.54,2545.49,10541.3271
2025-05-11 00:35:00,2545.48,2545.74,2520.01,2522.0,4961.224
2025-05-11 00:40:00,2522.0,2539.7,2518.24,2536.68,3987.8635
2025-05-11 00:45:00,2536.69,2552.01,2536.32,2549.5,3745.5713
2025-05-11 00:50:00,2549.49,2550.21,2536.95,2541.11,4328.9626
2025-05-11 00:55:00,2541.11,2549.66,2541.11,2544.12,2609.5937
2025-05-11 01:00:00,2544.12,2545.27,2530.65,2540.61,3050.8135
2025-05-11 01:05:00,2540.62,2547.73,2536.68,2546.45,2139.0352
2025-05-11 01:10:00,2546.44,2557.99,2545.62,2549.95,3077.7975
2025-05-11 01:15:00,2549.94,2551.5,2543.14,2544.72,1888.6839
2025-05-11 01:20:00,2544.72,2551.76,2540.0,2540.48,2507.8161
2025-05-11 01:25:00,2540.48,2551.34,2540.36,2549.21,1340.2256
2025-05-11 01:30:00,2549.21,2554.35,2538.99,2552.0,4831.2767
2025-05-11 01:35:00,2552.0,2553.39,2542.61,2546.4,2260.5406
2025-05-11 01:40:00,2546.4,2547.74,2534.6,2542.71,3031.7533
2025-05-11 01:45:00,2542.71,2543.44,2533.0,2534.83,1957.9964
2025-05-11 01:50:00,2534.84,2537.14,2512.5,2527.59,7184.051
2025-05-11 01:55:00,2527.59,2533.52,2520.06,2532.87,4342.178
2025-05-11 02:00:00,2532.87,2534.09,2522.88,2529.49,2899.6827
2025-05-11 02:05:00,2529.5,2540.02,2525.62,2539.49,2704.0749
2025-05-11 02:10:00,2539.49,2548.05,2539.0,2545.58,3840.6405
2025-05-11 02:15:00,2545.59,2555.49,2545.34,2555.49,3127.8681
2025-05-11 02:20:00,2555.49,2565.74,2554.85,2562.01,4494.2783
2025-05-11 02:25:00,2562.01,2562.01,2553.84,2555.78,2027.0937
2025-05-11 02:30:00,2555.77,2562.33,2553.03,2561.87,1813.2367
2025-05-11 02:35:00,2561.88,2564.19,2557.26,2561.66,1233.6105
2025-05-11 02:40:00,2561.67,2565.48,2541.41,2548.06,5032.2193
2025-05-11 02:45:00,2548.06,2548.06,2535.0,2538.5,5433.0616
2025-05-11 02:50:00,2538.5,2538.5,2524.29,2529.2,3772.8471
2025-05-11 02:55:00,2529.19,2544.3,2527.2,2543.58,5118.2345
2025-05-11 03:00:00,2543.57,2544.66,2530.87,2531.35,2328.598
2025-05-11 03:05:00,2531.34,2536.68,2530.46,2534.99,2574.5508
2025-05-11 03:10:00,2534.99,2542.2,2534.23,2541.0,1358.2802
2025-05-11 03:15:00,2541.01,2545.16,2536.49,2544.56,1234.0035
2025-05-11 03:20:00,2544.55,2551.15,2544.42,2547.33,1910.9374
2025-05-11 03:25:00,2547.33,2549.95,2544.62,2549.28,1468.8144
2025-05-11 03:30:00,2549.28,2549.66,2544.0,2545.15,887.2325
2025-05-11 03:35:00,2545.15,2545.15,2538.99,2542.64,1036.9874
2025-05-11 03:40:00,2542.65,2554.6,2541.7,2551.07,1678.1217
2025-05-11 03:45:00,2551.07,2553.5,2540.49,2542.8,1947.2701
2025-05-11 03:50:00,2542.79,2544.11,2534.5,2536.08,1322.0827
2025-05-11 03:55:00,2536.08,2539.56,2534.07,2537.63,861.5956
2025-05-11 04:00:00,2537.62,2539.68,2534.12,2538.39,1822.1943
2025-05-11 04:05:00,2538.39,2540.71,2531.2,2538.91,1999.0337
2025-05-11 04:10:00,2538.91,2550.75,2536.03,2540.88,5190.0819
2025-05-11 04:15:00,2540.89,2545.72,2540.89,2545.65,1226.7905
2025-05-11 04:20:00,2545.65,2548.4,2541.71,2543.35,1498.5371
2025-05-11 04:25:00,2543.36,2544.33,2539.0,2541.86,1251.8357
2025-05-11 04:30:00,2541.86,2542.72,2533.2,2539.49,1745.4252
2025-05-11 04:35:00,2539.5,2539.7,2530.52,2533.5,1493.6542
2025-05-11 04:40:00,2533.49,2539.7,2531.72,2538.5,996.8
2025-05-11 04:45:00,2538.5,2540.61,2535.68,2540.6,838.9434
